lv-R,lv-G,lv-B,lv-W,mix_W_2000_r_ratio_current,mix_W_2000_g_ratio_current,mix_W_2000_b_ratio_current,w_4000_current
187.4,268.2,125.1,133.1,1700.0,450.0,650.0,4000.0
178.6,259.7,121.1,184.0,1900.0,600.0,1000.0,5000.0
204.2,303.8,131.8,190.3,1900.0,450.0,900.0,5000.0
55.3,295.3,138.1,141.9,2100.0,600.0,600.0,5600.0
54.1,365.5,187.1,159.8,2000.0,400.0,500.0,4900.0
34.7,305.5,140.9,147.2,1800.0,300.0,500.0,4400.0
48.5,314.8,160.6,136.3,2500.0,600.0,600.0,5500.0
197.0,398.0,165.7,298.9,2000.0,400.0,600.0,4900.0
84.8,311.7,144.2,156.4,2100.0,500.0,600.0,5300.0
221.7,387.6,165.2,284.2,2300.0,400.0,500.0,4900.0
193.0,390.4,165.7,286.6,2200.0,500.0,600.0,5400.0
82.9,340.6,166.9,141.4,2000.0,400.0,600.0,4900.0
38.6,318.3,149.3,159.8,1800.0,300.0,500.0,4800.0
30.7,302.7,147.0,140.9,2000.0,400.0,600.0,5400.0
113.2,353.1,181.0,174.1,2000.0,400.0,600.0,4900.0
42.1,309.8,147.6,145.5,2100.0,400.0,600.0,4900.0
104.0,339.5,169.6,164.6,1900.0,300.0,500.0,4500.0
31.0,305.7,150.5,145.2,1800.0,300.0,500.0,4400.0
32.2,326.1,152.8,146.9,2100.0,400.0,600.0,5300.0
35.0,332.9,156.6,155.2,2000.0,400.0,600.0,4900.0
36.6,316.8,167.5,155.9,2200.0,400.0,600.0,5400.0
31.6,318.5,161.2,143.6,2300.0,400.0,600.0,5400.0
44.2,314.8,155.4,136.3,1900.0,300.0,500.0,5500.0
65.1,318.8,149.9,155.2,2400.0,400.0,600.0,4600.0
42.5,313.7,151.0,166.6,2500.0,600.0,700.0,6000.0
180.9,371.4,153.9,252.0,2200.0,400.0,600.0,5800.0
211.5,398.0,171.9,305.0,2400.0,600.0,600.0,5400.0
211.3,407.7,179.3,352.7,2000.0,400.0,600.0,4900.0
69.4,303.8,139.8,146.7,2400.0,600.0,700.0,6000.0
33.6,304.6,141.3,134.1,2100.0,600.0,600.0,6000.0
64.5,340.3,162.9,151.5,1700.0,300.0,500.0,4300.0
34.7,317.7,159.4,147.7,1800.0,300.0,500.0,4400.0
72.7,337.8,162.3,165.6,2000.0,400.0,600.0,4900.0
192.4,407.1,159.4,304.5,2000.0,400.0,600.0,4900.0
34.7,329.3,169.6,145.1,2600.0,700.0,800.0,6000.0
36.1,345.1,177.0,159.3,2100.0,300.0,500.0,4400.0
46.5,335.8,171.9,157.2,2000.0,400.0,600.0,4900.0
33.0,318.3,148.2,142.9,2000.0,400.0,600.0,5300.0
30.2,302.1,148.2,146.4,2100.0,300.0,500.0,4400.0
33.9,309.8,143.0,139.0,2100.0,400.0,600.0,4900.0
209.9,431.2,190.0,320.9,2100.0,400.0,600.0,4900.0
30.2,290.4,144.2,136.6,2000.0,400.0,600.0,4900.0
215.8,419.8,176.4,310.6,2000.0,400.0,600.0,4900.0
57.2,301.5,152.8,145.7,2200.0,600.0,600.0,5900.0
35.0,335.2,163.5,142.6,1900.0,300.0,500.0,5200.0
194.1,372.3,161.2,283.5,1800.0,300.0,500.0,4400.0
46.5,354.7,164.6,163.4,2000.0,400.0,600.0,4900.0
92.4,341.4,170.1,161.2,2100.0,400.0,600.0,4900.0
46.2,349.4,168.6,158.1,2000.0,400.0,600.0,4900.0
31.3,299.0,134.6,137.0,2100.0,500.0,600.0,6000.0
95.8,332.6,153.3,158.5,2100.0,500.0,600.0,4400.0
31.6,315.1,148.2,150.4,1900.0,300.0,500.0,4700.0
50.7,301.5,143.6,162.2,2100.0,500.0,600.0,5300.0
35.8,331.0,161.7,146.7,2100.0,500.0,600.0,4400.0
31.9,285.7,128.9,139.7,2600.0,600.0,700.0,6000.0
33.6,315.7,145.3,206.5,2200.0,600.0,600.0,4400.0
187.7,379.1,148.8,283.0,2500.0,500.0,700.0,5400.0
64.2,351.7,166.3,156.2,2100.0,300.0,500.0,5500.0
223.4,410.8,172.4,305.0,2300.0,700.0,700.0,6000.0
225.9,427.8,185.4,304.3,2100.0,300.0,500.0,5200.0
201.7,409.1,185.4,291.7,2100.0,500.0,600.0,4800.0
61.5,302.1,140.9,155.4,2100.0,500.0,600.0,4400.0
36.1,331.9,168.0,153.2,2100.0,500.0,600.0,4400.0
40.1,324.5,152.8,154.7,2100.0,600.0,600.0,5900.0
210.8,413.3,172.4,292.2,2500.0,600.0,600.0,4800.0
44.2,344.3,165.7,150.1,2100.0,500.0,600.0,4400.0
37.2,343.4,159.4,153.7,1900.0,300.0,500.0,4700.0
40.1,323.1,153.3,170.7,2100.0,500.0,600.0,4400.0
199.7,382.4,169.2,276.2,2300.0,600.0,600.0,6000.0
242.3,434.9,195.2,345.6,2100.0,500.0,600.0,4800.0
248.7,359.6,184.3,240.6,1400.0,300.0,500.0,3700.0
33.6,299.5,148.8,123.2,2100.0,500.0,600.0,4900.0
44.2,334.1,168.0,161.0,2000.0,400.0,600.0,4900.0
75.3,307.8,145.9,173.3,1800.0,300.0,500.0,4400.0
33.0,279.4,139.2,149.6,2200.0,300.0,500.0,4700.0
234.4,382.4,187.7,236.7,1400.0,300.0,500.0,3900.0
37.8,330.4,161.7,161.7,2000.0,400.0,600.0,4900.0
89.4,332.1,157.2,143.3,1800.0,300.0,500.0,5200.0
50.1,329.0,160.6,164.6,2500.0,600.0,600.0,5700.0
42.5,334.9,171.3,157.8,2100.0,300.0,600.0,5400.0
32.2,330.7,149.9,159.5,2100.0,500.0,600.0,4400.0
59.8,315.4,142.5,147.4,2900.0,700.0,700.0,6000.0
218.1,336.4,162.9,213.0,1700.0,400.0,600.0,4200.0
265.4,381.1,209.3,225.4,1400.0,300.0,500.0,3900.0
247.9,372.9,192.3,242.5,1400.0,300.0,500.0,3900.0
260.4,354.4,177.6,235.1,1400.0,300.0,500.0,3900.0
56.9,318.3,155.1,153.2,2000.0,400.0,600.0,5400.0
48.5,340.0,170.7,171.1,2100.0,300.0,500.0,4800.0
45.1,320.5,155.4,145.2,2100.0,500.0,600.0,4900.0
42.8,307.5,141.3,150.9,2300.0,500.0,600.0,5700.0
46.0,347.3,166.9,157.2,2100.0,300.0,500.0,4900.0
38.9,338.4,156.6,160.3,2100.0,300.0,500.0,4400.0
38.1,278.6,122.8,144.8,2000.0,400.0,600.0,4900.0
87.6,330.1,160.6,162.5,2000.0,400.0,600.0,4900.0
40.6,331.6,161.2,162.5,2300.0,600.0,600.0,4400.0
32.4,297.2,148.2,141.9,2300.0,400.0,600.0,5700.0
180.6,373.7,162.3,285.9,2900.0,800.0,700.0,6000.0
199.7,400.9,165.7,292.2,2100.0,300.0,500.0,4400.0
35.8,286.8,136.9,150.4,2400.0,600.0,600.0,5400.0
